paper_id,problem,role,page,chart_type,evidence_file,observation,claim
cumcm-2024-a016,A,abstract,1,text-layout,page-01.jpg,独立摘要页，关键词位于摘要末尾,排版/图表结构可迁移观察
cumcm-2024-a016,A,framework,4,table-or-flowchart,page-04.jpg,符号/变量/模型路线图,排版/图表结构可迁移观察
cumcm-2024-a016,A,main-result,7,representative-result,page-07.jpg,变量标注几何示意图,排版/图表结构可迁移观察
cumcm-2024-a016,A,validation,10,comparison-or-validation,page-10.jpg,第10页用密集结果表核对关键时刻或参数组合,排版/图表结构可迁移观察
cumcm-2024-a053,A,abstract,1,text-layout,page-01.jpg,独立摘要页，关键词位于摘要末尾,排版/图表结构可迁移观察
cumcm-2024-a053,A,framework,4,table-or-flowchart,page-04.jpg,符号/变量/模型路线图,排版/图表结构可迁移观察
cumcm-2024-a053,A,main-result,7,representative-result,page-07.jpg,螺线与局部放大图,排版/图表结构可迁移观察
cumcm-2024-a053,A,validation,10,comparison-or-validation,page-10.jpg,第9-10页以代入后的数值公式和边界结果收束,排版/图表结构可迁移观察
cumcm-2024-a178,A,abstract,1,text-layout,page-01.jpg,独立摘要页，关键词位于摘要末尾,排版/图表结构可迁移观察
cumcm-2024-a178,A,framework,4,table-or-flowchart,page-04.jpg,符号/变量/模型路线图,排版/图表结构可迁移观察
cumcm-2024-a178,A,main-result,7,representative-result,page-07.jpg,螺线轨迹图,排版/图表结构可迁移观察
cumcm-2024-a178,A,validation,10,comparison-or-validation,page-10.jpg,第8-10页用矩形/转向几何示意图和流程图检查约束,排版/图表结构可迁移观察
cumcm-2024-a242,A,abstract,1,text-layout,page-01.jpg,独立摘要页，关键词位于摘要末尾,排版/图表结构可迁移观察
cumcm-2024-a242,A,framework,4,table-or-flowchart,page-04.jpg,符号/变量/模型路线图,排版/图表结构可迁移观察
cumcm-2024-a242,A,main-result,7,representative-result,page-07.jpg,轨迹图,排版/图表结构可迁移观察
cumcm-2024-a242,A,validation,10,comparison-or-validation,page-10.jpg,第9-10页给出局部几何图和代入结果,排版/图表结构可迁移观察
cumcm-2024-b195,B,abstract,1,text-layout,page-01.jpg,独立摘要页，关键词位于摘要末尾,排版/图表结构可迁移观察
cumcm-2024-b195,B,framework,4,table-or-flowchart,page-04.jpg,符号/变量/模型路线图,排版/图表结构可迁移观察
cumcm-2024-b195,B,main-result,7,representative-result,page-07.jpg,决策流程图,排版/图表结构可迁移观察
cumcm-2024-b195,B,validation,10,comparison-or-validation,page-10.jpg,第10页流程图把决策链和输出方案对应起来,排版/图表结构可迁移观察
cumcm-2024-b196,B,abstract,1,text-layout,page-01.jpg,独立摘要页，关键词位于摘要末尾,排版/图表结构可迁移观察
cumcm-2024-b196,B,framework,4,table-or-flowchart,page-04.jpg,符号/变量/模型路线图,排版/图表结构可迁移观察
cumcm-2024-b196,B,main-result,7,representative-result,page-07.jpg,分布曲线,排版/图表结构可迁移观察
cumcm-2024-b196,B,validation,10,comparison-or-validation,page-10.jpg,第10页给出策略关系图或结果示意，形成流程到结论的闭环,排版/图表结构可迁移观察
cumcm-2024-c063,C,abstract,1,text-layout,page-01.jpg,独立摘要页，关键词位于摘要末尾,排版/图表结构可迁移观察
cumcm-2024-c063,C,framework,4,table-or-flowchart,page-04.jpg,符号/变量/模型路线图,排版/图表结构可迁移观察
cumcm-2024-c063,C,main-result,7,representative-result,page-07.jpg,排序条形图,排版/图表结构可迁移观察
cumcm-2024-c063,C,validation,10,comparison-or-validation,page-10.jpg,第9-10页用多组对比曲线检验方案在不同年份/对象上的稳定性,排版/图表结构可迁移观察
cumcm-2024-c094,C,abstract,1,text-layout,page-01.jpg,独立摘要页，关键词位于摘要末尾,排版/图表结构可迁移观察
cumcm-2024-c094,C,framework,4,table-or-flowchart,page-04.jpg,符号/变量/模型路线图,排版/图表结构可迁移观察
cumcm-2024-c094,C,main-result,7,representative-result,page-07.jpg,地块布局示意图,排版/图表结构可迁移观察
cumcm-2024-c094,C,validation,10,comparison-or-validation,page-10.jpg,第7-10页用高亮表格、目标函数和多情景结果验证可行性,排版/图表结构可迁移观察
cumcm-2024-c234,C,abstract,1,text-layout,page-01.jpg,独立摘要页，关键词位于摘要末尾,排版/图表结构可迁移观察
cumcm-2024-c234,C,framework,4,table-or-flowchart,page-04.jpg,符号/变量/模型路线图,排版/图表结构可迁移观察
cumcm-2024-c234,C,main-result,7,representative-result,page-07.jpg,彩色模型流程图,排版/图表结构可迁移观察
cumcm-2024-c234,C,validation,10,comparison-or-validation,page-10.jpg,第7页条形图与第8-10页公式/结果表共同支撑优化结论,排版/图表结构可迁移观察
cumcm-2024-d033,D,abstract,1,text-layout,page-01.jpg,独立摘要页，关键词位于摘要末尾,排版/图表结构可迁移观察
cumcm-2024-d033,D,framework,4,table-or-flowchart,page-04.jpg,符号/变量/模型路线图,排版/图表结构可迁移观察
cumcm-2024-d033,D,main-result,7,representative-result,page-07.jpg,受力与坐标系示意图,排版/图表结构可迁移观察
cumcm-2024-d033,D,validation,10,comparison-or-validation,page-10.jpg,第10页用分布/曲线或结果表达收束,排版/图表结构可迁移观察
cumcm-2024-e061,E,abstract,1,text-layout,page-01.jpg,独立摘要页，关键词位于摘要末尾,排版/图表结构可迁移观察
cumcm-2024-e061,E,framework,4,table-or-flowchart,page-04.jpg,符号/变量/模型路线图,排版/图表结构可迁移观察
cumcm-2024-e061,E,main-result,7,representative-result,page-07.jpg,时段流量折线图,排版/图表结构可迁移观察
cumcm-2024-e061,E,validation,10,comparison-or-validation,page-10.jpg,第7-10页用指标表和多情景结果检验管控方案,排版/图表结构可迁移观察
cumcm-2024-e218,E,abstract,1,text-layout,page-01.jpg,独立摘要页，关键词位于摘要末尾,排版/图表结构可迁移观察
cumcm-2024-e218,E,framework,4,table-or-flowchart,page-04.jpg,符号/变量/模型路线图,排版/图表结构可迁移观察
cumcm-2024-e218,E,main-result,7,representative-result,page-07.jpg,路网/节点关系图,排版/图表结构可迁移观察
cumcm-2024-e218,E,validation,10,comparison-or-validation,page-10.jpg,第6-10页用多组曲线、表格和目标函数比较方案,排版/图表结构可迁移观察
cumcm-2025-b060,B,abstract,1,text-layout,page-01.jpg,独立摘要页，关键词位于摘要末尾,排版/图表结构可迁移观察
cumcm-2025-b060,B,framework,4,table-or-flowchart,page-04.jpg,符号/变量/模型路线图,排版/图表结构可迁移观察
cumcm-2025-b060,B,main-result,7,representative-result,page-07.jpg,参数响应曲线,排版/图表结构可迁移观察
cumcm-2025-b060,B,validation,10,comparison-or-validation,page-10.jpg,第10页以关键数值表和误差/指标收束,排版/图表结构可迁移观察
cumcm-2025-b157,B,abstract,1,text-layout,page-01.jpg,独立摘要页，关键词位于摘要末尾,排版/图表结构可迁移观察
cumcm-2025-b157,B,framework,4,table-or-flowchart,page-04.jpg,符号/变量/模型路线图,排版/图表结构可迁移观察
cumcm-2025-b157,B,main-result,7,representative-result,page-07.jpg,彩色状态/区域图,排版/图表结构可迁移观察
cumcm-2025-b157,B,validation,10,comparison-or-validation,page-10.jpg,第10页用局部示意和曲线结果检查关键状态,排版/图表结构可迁移观察
cumcm-2025-c023,C,abstract,1,text-layout,page-01.jpg,独立摘要页，关键词位于摘要末尾,排版/图表结构可迁移观察
cumcm-2025-c023,C,framework,4,table-or-flowchart,page-04.jpg,符号/变量/模型路线图,排版/图表结构可迁移观察
cumcm-2025-c023,C,main-result,7,representative-result,page-07.jpg,检测流程/医学机制示意图,排版/图表结构可迁移观察
cumcm-2025-c023,C,validation,10,comparison-or-validation,page-10.jpg,第6-10页以热力图、模型指标表、曲线和路线图交叉验证,排版/图表结构可迁移观察
cumcm-2025-d037,D,abstract,1,text-layout,page-01.jpg,独立摘要页，关键词位于摘要末尾,排版/图表结构可迁移观察
cumcm-2025-d037,D,framework,4,table-or-flowchart,page-04.jpg,符号/变量/模型路线图,排版/图表结构可迁移观察
cumcm-2025-d037,D,main-result,7,representative-result,page-07.jpg,系统网络图,排版/图表结构可迁移观察
cumcm-2025-d037,D,validation,10,comparison-or-validation,page-10.jpg,第7-10页用节点图、对比图和误差/结果曲线验证方案,排版/图表结构可迁移观察
cumcm-2025-e030,E,abstract,1,text-layout,page-01.jpg,独立摘要页，关键词位于摘要末尾,排版/图表结构可迁移观察
cumcm-2025-e030,E,framework,4,table-or-flowchart,page-04.jpg,符号/变量/模型路线图,排版/图表结构可迁移观察
cumcm-2025-e030,E,main-result,7,representative-result,page-07.jpg,姿态关键点/动作序列图,排版/图表结构可迁移观察
cumcm-2025-e030,E,validation,10,comparison-or-validation,page-10.jpg,第5-10页用多面板时序图、相位图和评分表检查分类/评价结果,排版/图表结构可迁移观察
